YEAR DAY  HH MM SS   DIST   DENS     Vpar    Tpar   Tperp     T      Emean     Apex	sc
2001 261  16 57 24   4.76  0.1470     79.0   845.7   676.3   732.7   1621.2    40.0	4
2001 266  11 16 34   5.04  0.3728     92.7   636.6   835.1   768.9   1874.5    42.1	1
2001 266  11 17 38   5.05  0.4258     98.9   318.7   721.7   587.4   1696.8    40.6	1
2001 266  11 18 34   5.06  0.3113     96.2   534.2   448.9   477.4   1494.3    33.1	1
2001 266  11 19 35   5.07  0.3271     94.0   451.3   887.8   742.3   1857.3    43.6	1
2001 266  11 20 35   5.09  0.3796    116.7   738.9   897.7   844.8   2418.3    37.3	1
2001 266  11 52 28   4.83  0.3239     78.2   382.6   341.5   355.2   1044.8    34.6	3
2001 266  11 53 24   4.84  0.3753     99.9   337.2   589.0   505.1   1593.9    37.6	3
2001 266  11 54 20   4.85  0.4293     81.2   216.5   230.1   225.5    890.5    30.2	3
2001 266  11 55 16   4.87  0.4709     70.9    86.2   254.1   198.1    717.5    36.5	3
2001 266  11 56 13   4.88  0.2888     91.1   233.6   358.0   316.5   1167.8    33.1	3
2001 266  11 18 32   4.85  0.3079     79.5   194.8   214.1   207.7    840.0    30.0	4
2001 266  11 19 28   4.86  0.2681     87.4   150.4   190.6   177.2    904.2    26.6	4
2001 266  11 20 24   4.88  0.1931     94.9   353.5   386.4   375.4   1314.6    32.6	4
2001 266  11 21 20   4.89  0.2323    105.3   782.4   687.0   718.8   2006.8    35.8	4
2001 266  11 22 16   4.91  0.2503     99.1   348.2   395.1   379.5   1393.6    31.2	4
2001 271   5 54 31   5.37  0.0872     89.8   892.0   720.6   777.7   1867.9    38.4	1
2001 271   5 55 27   5.38  0.1202     92.0   913.6   580.1   691.3   1748.6    35.3	1
2001 271   5 56 23   5.40  0.1335    109.1   982.6   695.4   791.1   2181.5    34.1	1
2001 271   5 57 20   5.41  0.1048     96.0   635.7   420.8   492.4   1507.8    31.9	1
2001 271   5 58 16   5.43  0.1522     99.2   619.4   467.6   518.2   1601.1    32.6	1
2001 271   6 21 31   5.03  0.0595    139.7  2818.0  3115.5  3016.4   6189.6    45.9	3
2001 271   6 22 27   5.04  0.0559    121.5  2286.2  2135.4  2185.6   4582.0    44.0	3
2001 271   6 23 23   5.05  0.0384     70.3  1260.4   635.1   843.5   1693.0    37.8	3
2001 271   6 24 19   5.07  0.0538     73.3  1523.2   703.9   977.0   1919.3    36.4	3
2001 271   6 25 15   5.08  0.0468     77.0  1245.4   753.9   917.7   1942.4    44.0	3
2001 271   2 11 29   5.32  0.4413     93.7   137.8   357.3   284.1   1185.0    31.1	1
2001 271   2 12 26   5.31  0.5330     51.8    72.2    75.3    74.3    337.9    27.6	1
2001 271   2 13 22   5.30  0.2939     55.3    71.0   129.3   109.9    422.1    33.6	1
2001 271   2 14 18   5.28  0.1662     66.3   140.7   200.0   180.3    638.3    34.0	1
2001 271   2 15 15   5.27  0.2471     60.8   175.1   197.9   190.3    597.1    34.2	1
2001 271   2 42 28   5.48  0.4328     57.5    51.9    48.4    49.6    350.7    21.7	3
2001 271   2 43 24   5.46  0.2595     60.5    56.6   139.8   112.1    473.8    29.8	3
2001 271   2 44 28   5.44  0.1718     59.0    33.5   173.9   127.1    481.6    36.5	3
2001 271   2 45 25   5.43  0.4031     74.9    52.2   165.7   127.9    662.9    29.8	3
2001 271   2 46 21   5.41  0.3987     65.9    36.3   123.5    94.4    504.8    29.6	3
2001 271   2 20 31   5.09  0.1694     76.5   321.4   290.8   301.0    948.1    32.6	4
2001 271   2 21 27   5.08  0.2720     66.6   172.3   248.6   223.1    706.7    36.4	4
2001 271   2 22 23   5.06  0.4629     62.7   148.1   175.2   166.2    577.0    33.3	4	
2001 271   2 23 20   5.04  0.6665     52.8   134.0   101.9   112.6    405.8    27.6	4
2001 271   2 24 16   5.03  0.6589     62.2   129.0   129.0   129.0    517.0    29.2	4
2001 273  10 39 35   5.98  0.5771     71.5   123.7   325.7   258.4    816.2    39.0	1
2001 273  10 40 32   5.97  0.5802     67.0   257.6   303.1   287.9    808.2    37.9	1
2001 273  10 41 28   5.95  0.5080     70.1   237.7   340.6   306.3    870.9    38.9	1
2001 273  10 42 24   5.93  0.4836     68.9   145.4   362.0   289.8    830.7    41.2	1
2001 273  10 43 21   5.92  0.3381     73.7   381.5   450.3   427.4   1094.6    40.1	1
2001 273  11 18 30   6.05  0.4955     85.0    78.8   478.6   345.4   1122.7    40.6	3
2001 273  11 19 26   6.03  0.3650     92.9   122.4   483.2   363.0   1263.4    38.1	3
